# Time-averaged data for fix 4
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7] c_myRDF[8] c_myRDF[9]
100000 50
1 0.04 0 0 0 0 0 0 0 0
2 0.12 0 0 0 0 0 0 0 0
3 0.2 0 0 0 0 0 0 0 0
4 0.28 0 0 0 0 0 0 0 0
5 0.36 0 0 0 0 0 0 0 0
6 0.44 0 0 0 0 0 0 0 0
7 0.52 0 0 0 0 0 0 0 0
8 0.6 0 0 0 0 0 0 0 0
9 0.68 0 0 0 0 0 0 0 0
10 0.76 0 0 0 0 0 0 0 0
11 0.84 0 0 0.000692396 0.00024 0.000692396 0.00024 0 0
12 0.92 0.142013 0.05904 0.18656 0.0778 0.18656 0.0778 0.14259 0.05928
13 1 3.27128 1.66568 0.970974 0.55468 0.970974 0.55468 3.29131 1.67576
14 1.08 5.28183 4.6912 1.03544 1.1478 1.03544 1.1478 5.24915 4.68256
15 1.16 3.33254 6.89328 0.668723 1.58968 0.668723 1.58968 3.3007 6.8636
16 1.24 1.80729 8.25784 0.425785 1.91116 0.425785 1.91116 1.75569 8.1892
17 1.32 1.09626 9.19576 0.312403 2.17844 0.312403 2.17844 1.1015 9.1316
18 1.4 0.80052 9.96616 0.259442 2.42812 0.259442 2.42812 0.822798 9.92344
19 1.48 0.725784 10.7467 0.260872 2.70868 0.260872 2.70868 0.72013 10.6979
20 1.56 0.772112 11.6693 0.28991 3.05508 0.28991 3.05508 0.790792 11.6428
21 1.64 0.947327 12.9202 0.367159 3.53992 0.367159 3.53992 0.951446 12.8992
22 1.72 1.22672 14.702 0.484969 4.24432 0.484969 4.24432 1.2444 14.7066
23 1.8 1.57647 17.2097 0.631171 5.24832 0.631171 5.24832 1.59126 17.2378
24 1.88 1.79944 20.3321 0.724617 6.50568 0.724617 6.50568 1.7875 20.3395
25 1.96 1.86218 23.8442 0.787061 7.99008 0.787061 7.99008 1.83669 23.8035
26 2.04 1.8355 27.5942 0.809855 9.64468 0.809855 9.64468 1.80797 27.4974
27 2.12 1.68644 31.3153 0.760644 11.323 0.760644 11.323 1.67803 31.1998
28 2.2 1.41857 34.6859 0.669587 12.914 0.669587 12.914 1.40715 34.5434
29 2.28 1.17291 37.6792 0.58882 14.4167 0.58882 14.4167 1.16159 37.5078
30 2.36 1.00512 40.4274 0.550253 15.9212 0.550253 15.9212 1.01794 40.291
31 2.44 0.948265 43.199 0.551033 17.5317 0.551033 17.5317 0.962826 43.1051
32 2.52 1.01001 46.3477 0.607396 19.4253 0.607396 19.4253 1.02354 46.296
33 2.6 1.12176 50.0703 0.692214 21.7224 0.692214 21.7224 1.1395 50.0775
34 2.68 1.26891 54.5444 0.800802 24.546 0.800802 24.546 1.27456 54.5715
35 2.76 1.37296 59.6786 0.883862 27.8512 0.883862 27.8512 1.37347 59.7077
36 2.84 1.40177 65.2289 0.930765 31.5366 0.930765 31.5366 1.3794 65.1694
37 2.92 1.36556 70.9446 0.92843 35.4226 0.92843 35.4226 1.34005 70.7783
38 3 1.26577 76.537 0.902645 39.4106 0.902645 39.4106 1.26012 76.3457
39 3.08 1.1734 82.0014 0.868932 43.4572 0.868932 43.4572 1.17337 81.8099
40 3.16 1.08842 87.3367 0.836356 47.5569 0.836356 47.5569 1.08728 87.1397
41 3.24 1.02335 92.6103 0.812092 51.7418 0.812092 51.7418 1.02326 92.4128
42 3.32 0.977144 97.8975 0.809334 56.121 0.809334 56.121 0.987479 97.7559
43 3.4 0.967892 103.39 0.825959 60.8082 0.825959 60.8082 0.980792 103.322
44 3.48 1.00251 109.35 0.88227 66.0532 0.88227 66.0532 1.0139 109.349
45 3.56 1.05327 115.903 0.946584 71.9423 0.946584 71.9423 1.05867 115.936
46 3.64 1.09138 123.001 1.00501 78.479 1.00501 78.479 1.08683 123.005
47 3.72 1.11408 130.569 1.04931 85.6071 1.04931 85.6071 1.1052 130.512
48 3.8 1.10471 138.4 1.06181 93.1337 1.06181 93.1337 1.09269 138.258
49 3.88 1.06538 146.273 1.04871 100.884 1.04871 100.884 1.05465 146.052
50 3.96 1.00538 154.013 1.022 108.751 1.022 108.751 0.997887 153.734
