       0          300    79.378655    -6641.179   -6561.8004     24881.77      2049.49    1974.2184    2033.3441    2140.9075     29.19401     29.19401     29.19401   -6529.9718 
      10    309.20101    81.813202    -6643.651   -6561.8378     24881.86    1865.3834    1837.5786    1787.1668    1971.4046    29.194046    29.194046    29.194046   -6532.8683 
      20    315.83967     83.56976   -6645.5553   -6561.9855     24882.12    1679.6608    1614.4184    1605.6469     1818.917    29.194147    29.194147    29.194147   -6535.9001 
      30    317.85914    84.104104   -6646.3893   -6562.2852    24882.532    1516.4338     1374.622    1491.9141    1682.7653    29.194308    29.194308    29.194308   -6538.7343 
      40    315.43631    83.463034   -6646.2066   -6562.7436    24883.081    1400.3345    1192.0997    1444.8953    1564.0086    29.194523    29.194523    29.194523   -6540.9953 
      50    310.26535    82.094819   -6645.4162   -6563.3214    24883.759    1365.0467    1134.0362    1463.5671    1497.5369    29.194788    29.194788    29.194788   -6542.1206 
      60    304.06602    80.454507   -6644.3953   -6563.9408    24884.561    1403.9172    1202.0101    1500.5366    1509.2049    29.195102    29.195102    29.195102   -6542.1356 
      70    297.94379     78.83459   -6643.3511   -6564.5165     24885.49    1438.5579    1271.1107    1488.7744    1555.7886    29.195465    29.195465    29.195465   -6542.1723 
      80    292.55831    77.409618   -6642.4017   -6564.9921     24886.55    1424.0676    1239.5945    1443.0292     1589.579     29.19588     29.19588     29.19588   -6542.8721 
      90    288.68055     76.38358   -6641.7381   -6565.3545    24887.739    1397.4267     1161.923    1431.6445    1598.7127    29.196344    29.196344    29.196344   -6543.6473 
     100    287.28359    76.013949   -6641.6339   -6565.6199    24889.054    1371.5329    1107.6307    1447.3516    1559.6165    29.196859    29.196859    29.196859   -6544.3138 
     110    288.89044    76.439114   -6642.2557   -6565.8165    24890.494    1295.0219    1043.0394    1403.5263    1438.4998    29.197422    29.197422    29.197422   -6545.6978 
     120    293.16635    77.570501   -6643.5467   -6565.9762    24892.051    1128.6743     914.2422    1240.7358     1231.045    29.198031    29.198031    29.198031   -6548.4407 
     130    298.81202     79.06432   -6645.1978   -6566.1334     24893.71    896.27739    742.26277     966.2344    980.33499    29.198679    29.198679    29.198679   -6552.2076 
     140    303.71613    80.361926    -6646.685   -6566.3231    24895.451    653.75296     579.8608    618.30356    763.09453     29.19936     29.19936     29.19936   -6556.1647 
     150    305.55313    80.847987   -6647.4198   -6566.5718    24897.251    443.50775    426.02421    270.94335    633.55571    29.200064    29.200064    29.200064   -6559.6798 
     160    302.97717      80.1664   -6647.0516   -6566.8852    24899.093    279.99903    256.87797    26.777306     556.3418    29.200784    29.200784    29.200784   -6562.5338 
     170     296.7737     78.52499   -6645.7668   -6567.2418    24900.961    168.94581    88.116691   -31.772228    450.49297    29.201514    29.201514    29.201514    -6564.616 
     180    289.51409    76.604129   -6644.2059   -6567.6018    24902.844    98.521002   -47.715536    61.585235    281.69331     29.20225     29.20225     29.20225   -6566.0704 
     190    284.28202    75.219749   -6643.1475   -6567.9277    24904.737    31.035507   -143.32414     152.2485    84.182164     29.20299     29.20299     29.20299   -6567.4453 
     200    283.32909    74.967607   -6643.1687   -6568.2011    24906.633   -76.344693   -228.85161    95.761573   -95.944044    29.203731    29.203731    29.203731   -6569.3879 
     210    286.71882    75.864514   -6644.2914   -6568.4269    24908.522   -230.03689   -347.57231   -101.95386   -240.58452    29.204469    29.204469    29.204469   -6572.0032 
     220    291.99747     77.26122   -6645.8893   -6568.6281     24910.39   -392.49482   -522.17123   -306.09515   -349.21808    29.205199    29.205199    29.205199   -6574.7306 
     230    295.82226    78.273245   -6647.1066   -6568.8333    24912.223   -521.70174   -720.83867   -437.00453     -407.262    29.205916    29.205916    29.205916   -6576.9453 
     240    296.20883    78.375528   -6647.4371   -6569.0616     24914.01    -593.8948   -876.74133   -499.65335   -405.28972    29.206614    29.206614    29.206614   -6578.2967 
     250    293.27318    77.598768   -6646.9115   -6569.3127    24915.744   -625.96653    -955.0549   -519.22304   -403.62164    29.207291    29.207291    29.207291   -6579.0473 
     260    288.73697    76.398507   -6645.9676   -6569.5691     24917.42   -646.76887   -946.17947   -531.99194    -462.1352    29.207947    29.207947    29.207947   -6579.6278 
     270    284.93861    75.393479   -6645.2009   -6569.8075    24919.039   -711.69636   -924.21809     -611.825     -599.046    29.208579    29.208579    29.208579   -6580.8766 
     280     283.4302     74.99436    -6645.006   -6570.0116    24920.592   -862.61076   -985.77016   -798.04023   -804.02188    29.209186    29.209186    29.209186   -6583.4288 
     290    284.27588    75.218124   -6645.3957   -6570.1776    24922.066   -1057.6999   -1133.4677   -1020.7731    -1018.859    29.209762    29.209762    29.209762   -6586.6302 
     300    286.22315    75.733362   -6646.0453   -6570.3119    24923.445   -1225.8331   -1300.3972   -1210.5328   -1166.5693    29.210301    29.210301    29.210301    -6589.381 
     310    287.58395    76.093424   -6646.5186   -6570.4252    24924.714   -1331.2393   -1420.9045   -1359.4517   -1213.3616    29.210796    29.210796    29.210796    -6591.135 
     320    287.58059    76.092535   -6646.6171   -6570.5246    24925.862   -1389.7025   -1489.5954   -1470.3987   -1209.1135    29.211245    29.211245    29.211245   -6592.1449 
     330    286.99204    75.936807   -6646.5478    -6570.611    24926.883   -1473.7501    -1575.104   -1571.7556   -1274.3906    29.211644    29.211644    29.211644   -6593.5398 
     340    287.51329    76.074729   -6646.7578    -6570.683    24927.771   -1617.2541   -1696.4114    -1691.926   -1463.4249     29.21199     29.21199     29.21199   -6595.8454 
