# Time-averaged data for fix 4
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7] c_myRDF[8] c_myRDF[9]
100000 50
1 0.04 0 0 0 0 0 0 0 0
2 0.12 0 0 0 0 0 0 0 0
3 0.2 0 0 0 0 0 0 0 0
4 0.28 0 0 0 0 0 0 0 0
5 0.36 0 0 0 0 0 0 0 0
6 0.44 0 0 0 0 0 0 0 0
7 0.52 0 0 0 0 0 0 0 0
8 0.6 0 0 0 0 0 0 0 0
9 0.68 0 0 0 0 0 0 0 0
10 0.76 0 0 0 0 0 0 0 0
11 0.84 0.135017 0.0468 0 0 0 0 0.136171 0.0472
12 0.92 1.525 0.6808 0.142301 0.05916 0.142301 0.05916 1.52288 0.68032
13 1 2.39624 1.85768 1.93967 1.0118 1.93967 1.0118 2.38451 1.85144
14 1.08 1.83053 2.90624 2.98685 2.72272 2.98685 2.72272 1.84198 2.90656
15 1.16 1.23865 3.72472 2.13039 4.13044 2.13039 4.13044 1.23635 3.72352
16 1.24 0.857821 4.3724 1.33982 5.14204 1.33982 5.14204 0.849874 4.3652
17 1.32 0.673149 4.94832 0.930805 5.9384 0.930805 5.9384 0.665856 4.93488
18 1.4 0.575244 5.50192 0.732979 6.6438 0.732979 6.6438 0.571004 5.4844
19 1.48 0.567862 6.11264 0.665159 7.35916 0.665159 7.35916 0.557969 6.08448
20 1.56 0.626487 6.8612 0.682394 8.17452 0.682394 8.17452 0.628965 6.836
21 1.64 0.727291 7.8216 0.779271 9.20356 0.779271 9.20356 0.749525 7.82576
22 1.72 0.88027 9.10016 0.920368 10.5404 0.920368 10.5404 0.884181 9.11
23 1.8 1.07339 10.8076 1.07261 12.2466 1.07261 12.2466 1.06303 10.801
24 1.88 1.18022 12.8555 1.18729 14.3068 1.18729 14.3068 1.17044 12.8319
25 1.96 1.23283 15.1806 1.24112 16.6475 1.24112 16.6475 1.2506 15.1906
26 2.04 1.23989 17.7138 1.19414 19.0872 1.19414 19.0872 1.2366 17.717
27 2.12 1.15284 20.2575 1.09584 21.5052 1.09584 21.5052 1.15879 20.2738
28 2.2 1.04656 22.7442 0.972437 23.8158 0.972437 23.8158 1.04979 22.7682
29 2.28 0.957328 25.1874 0.8883 26.0827 0.8883 26.0827 0.949021 25.1902
30 2.36 0.899294 27.6462 0.838334 28.3749 0.838334 28.3749 0.882295 27.6026
31 2.44 0.876168 30.207 0.839832 30.8295 0.839832 30.8295 0.88 30.1746
32 2.52 0.909265 33.0417 0.879356 33.5709 0.879356 33.5709 0.909958 33.0114
33 2.6 0.960824 36.2302 0.945866 36.7098 0.945866 36.7098 0.966947 36.2202
34 2.68 1.02716 39.8519 1.00346 40.248 1.00346 40.248 1.02421 39.8315
35 2.76 1.07083 43.8563 1.05979 44.2111 1.05979 44.2111 1.07498 43.8514
36 2.84 1.08205 48.1406 1.08139 48.4928 1.08139 48.4928 1.08094 48.1314
37 2.92 1.07946 52.6589 1.07729 53.002 1.07729 53.002 1.07224 52.6194
38 3 1.04814 57.2897 1.05933 57.6822 1.05933 57.6822 1.04614 57.2414
39 3.08 1.0062 61.9754 1.01725 62.4194 1.01725 62.4194 1.02187 62.0001
40 3.16 0.974995 66.7548 0.982494 67.2355 0.982494 67.2355 0.96912 66.7506
41 3.24 0.947765 71.6389 0.96093 72.1874 0.96093 72.1874 0.947284 71.6322
42 3.32 0.943035 76.7415 0.953422 77.3463 0.953422 77.3463 0.943479 76.7373
43 3.4 0.958193 82.179 0.964065 82.8171 0.964065 82.8171 0.943771 82.093
44 3.48 0.963993 87.9099 0.981897 88.6544 0.981897 88.6544 0.971892 87.8708
45 3.56 0.994246 94.0955 1.00743 94.922 1.00743 94.922 0.989243 94.0253
46 3.64 1.01134 100.673 1.02213 101.57 1.02213 101.57 1.01696 100.64
47 3.72 1.03648 107.714 1.02769 108.551 1.02769 108.551 1.03317 107.658
48 3.8 1.03205 115.03 1.03189 115.866 1.03189 115.866 1.03114 114.967
49 3.88 1.02311 122.591 1.02519 123.442 1.02519 123.442 1.02677 122.555
50 3.96 1.01317 130.39 1.01062 131.222 1.01062 131.222 1.0117 130.343
